id;manufacturer;model;license_plate;seat_count;convertible;rating;engine_type;avaiable
1;San deposit Berkshire;facilitate Towels;one-to-one;4;true;18648;Profit-focused reinvent;false
2;Savings Nebraska calculate;Small Human Front-line;empowering Ghana parsing;3;false;41918;yellow;true
3;Cambodia Mexico Northern;orchestrate optimize;Configurable PCI motivating;5;false;50095;ROI Handcrafted Tennessee;true
4;experiences;Paradigm programming;Republic;9;true;35828;Optional navigate Loan;true
5;Sleek;user-centric Central Officer;SSL Concrete Mississippi;1;true;42044;defect;false
6;Steel Fantastic Saint;transmit Minnesota Unbranded;Turkey;1;false;60974;Refined Factors Central;false
7;payment;Bedfordshire Gorgeous Games;Wooden Wisconsin Concrete;2;false;9596;Sleek Rustic input;true
8;backing Configuration;Kids mobile;1080p Cheese;3;true;59267;Director synergistic Borders;true
9;Handmade Shoes Buckinghamshire;deposit;Regional global Soft;6;true;11556;deposit e-services;false
10;Valley;plum;Baby and invoice;7;false;36523;olive;true
